Frame,qpos_LinkN0,qvel_LinkN0,qpos_LinkN1,qvel_LinkN1,qpos_LinkN2,qvel_LinkN2,qpos_LinkN3,qvel_LinkN3,qpos_LinkN4,qvel_LinkN4,qpos_LinkN5,qvel_LinkN5,qpos_LinkN6,qvel_LinkN6,qpos_LinkN7,qvel_LinkN7
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.397126913,0
2,0.0,0.0,0.0,0.0,-0.008751820773,-0.2100436985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.397126913,0
3,0.0,0.0,0.0,0.0,-0.03321805224,-0.5871895552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.397126913,0
4,0.0,0.0,0.0,0.0,-0.07071484625,-0.8999230564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.397126913,0
5,0.0,0.0,0.0,0.0,-0.1185583472,-1.148244023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.397126913,0
6,0.0,0.0,0.0,0.0,-0.1740647405,-1.33215344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.397126913,0
7,0.0,0.0,0.0,0.0,-0.2345501333,-1.451649427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.397126913,0
8,0.0,0.0,0.0,0.0,-0.2973306775,-1.50673306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.397126913,0
9,0.0,0.0,0.0,0.0,-0.3597225547,-1.497405052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.397126913,0
10,0.0,0.0,0.0,0.0,-0.4190419316,-1.423665047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.397126913,0
11,0.0,0.0,0.0,0.0,-0.4731091559,-1.297613382,0.0,0.0,-0.01037337445,-0.2489609867,0.0,0.0,0.0,0.0,1.397126913,0
12,0.0,0.0,0.0,0.0,-0.5217615962,-1.167658567,0.0,0.0,-0.03934873641,-0.695408687,0.0,0.0,0.0,0.0,1.397126913,0
13,0.0,0.0,0.0,0.0,-0.5653406978,-1.045898438,0.0,0.0,-0.08370894194,-1.064644933,0.0,0.0,0.0,0.0,1.397126913,0
14,0.0,0.0,0.0,0.0,-0.6041882038,-0.9323401451,0.0,0.0,-0.1402368844,-1.356670618,0.0,0.0,0.0,0.0,1.397126913,0
15,0.0,0.0,0.0,0.0,-0.6386455894,-0.826977253,0.0,0.0,-0.2057153881,-1.571484089,0.0,0.0,0.0,0.0,1.397126913,0
16,0.0,0.0,0.0,0.0,-0.6690544486,-0.7298126221,0.0,0.0,-0.2769272923,-1.709085703,0.0,0.0,0.0,0.0,1.397126913,0
17,0.0,0.0,0.0,0.0,-0.6957562566,-0.6408433914,0.0,0.0,-0.3506555259,-1.769477606,0.0,0.0,0.0,0.0,1.397126913,0
18,0.0,0.0,0.0,0.0,-0.7190926075,-0.560072422,0.0,0.0,-0.4236829281,-1.752657652,0.0,0.0,0.0,0.0,1.397126913,0
19,0.0,0.0,0.0,0.0,-0.7394051552,-0.4875011444,0.0,0.0,-0.4927923381,-1.658625841,0.0,0.0,0.0,0.0,1.397126913,0
20,0.0,0.0,0.0,0.0,-0.7570353746,-0.423125267,0.0,0.0,-0.5547665954,-1.487382174,0.0,0.0,0.0,0.0,1.397126913,0
21,0.0,0.0,0.0,0.0,-0.7722964287,-0.3662652969,0.0,0.0,-0.6071500182,-1.257202148,0.0,0.0,-0.02180524915,-0.5233259797,1.397126913,0
22,0.0,0.0,0.0,0.0,-0.7853883505,-0.3142061234,0.0,0.0,-0.650532186,-1.041172028,0.0,0.0,-0.08099094778,-1.420456767,1.397126913,0
23,0.0,0.0,0.0,0.0,-0.7964822054,-0.2662525177,0.0,0.0,-0.6862642765,-0.8575701714,0.0,0.0,-0.1682119668,-2.093304455,1.397126913,0
24,0.0,0.0,0.0,0.0,-0.8057495952,-0.2224173546,0.0,0.0,-0.7156972289,-0.7063908577,0.0,0.0,-0.2741232216,-2.541870117,1.397126913,0
25,0.0,0.0,0.0,0.0,-0.8133619428,-0.1826963425,0.0,0.0,-0.7401820421,-0.5876355171,0.0,0.0,-0.3893795907,-2.766152859,1.397126913,0
26,0.0,0.0,0.0,0.0,-0.8194905519,-0.1470866203,0.0,0.0,-0.7610698342,-0.5013070107,0.0,0.0,-0.5046359301,-2.766152143,1.397126913,0
27,0.0,0.0,0.0,0.0,-0.8243070841,-0.1155967712,0.0,0.0,-0.7797116041,-0.4474024773,0.0,0.0,-0.6105471253,-2.541868687,1.397126913,0
28,0.0,0.0,0.0,0.0,-0.8279826641,-0.08821392059,0.0,0.0,-0.7974585295,-0.4259262085,0.0,0.0,-0.6977683306,-2.093308926,1.397126913,0
29,0.0,0.0,0.0,0.0,-0.8306889534,-0.06495094299,0.0,0.0,-0.8156613111,-0.4368667603,0.0,0.0,-0.7569539547,-1.420454979,1.397126913,0
30,0.0,0.0,0.0,0.0,-0.8325971961,-0.04579782486,0.0,0.0,-0.8356713057,-0.4802398682,0.0,0.0,-0.7787591815,-0.5233254433,1.397126913,0
31,0.0,0.0,0.0,0.0,-0.8338798285,-0.03078317642,0.0,0.0,-0.8584378362,-0.5463967323,0.0,0.0,-0.7787591815,0.0,1.397126913,0
32,0.0,0.0,0.0,0.0,-0.8347128034,-0.01999139786,0.0,0.0,-0.8833035827,-0.596777916,0.0,0.0,-0.7787591815,0.0,1.397126913,0
